Samples	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Group
83815_A01	0.0162	0.0261	-0.0032	-0.0305	0.0191	-0.0228	0.0051	0.0033	0.0037	0.0062	Finland
83815_A02	0.0146	0.0289	0.0005	-0.0313	0.0129	-0.0293	0.0002	-0.0061	0.0059	-0.0019	Finland
83815_A03	0.0168	0.0369	-0.0034	-0.0398	0.0219	-0.0363	0.0055	-0.0070	0.0066	0.0000	Finland
83815_A04	0.0144	0.0280	-0.0017	-0.0312	0.0204	-0.0277	0.0105	-0.0019	0.0016	-0.0049	Finland
83815_A05	0.0158	0.0377	-0.0023	-0.0329	0.0256	-0.0329	0.0014	0.0003	0.0064	-0.0078	Finland
83815_A07	0.0182	0.0314	0.0003	-0.0346	0.0164	-0.0246	0.0028	-0.0110	0.0025	-0.0027	Finland
83815_A08	0.0158	0.0274	-0.0003	-0.0262	0.0191	-0.0217	0.0036	0.0011	-0.0000	-0.0091	Finland
83815_A09	0.0164	0.0341	0.0001	-0.0305	0.0123	-0.0216	0.0012	0.0013	-0.0015	-0.0002	Finland
83815_A10	0.0173	0.0334	-0.0024	-0.0328	0.0172	-0.0285	0.0062	-0.0072	0.0074	-0.0007	Finland
83815_A11	0.0129	0.0316	-0.0021	-0.0244	0.0114	-0.0211	0.0069	-0.0075	-0.0004	0.0020	Finland
83815_A12	0.0070	0.0015	0.0066	0.0159	-0.0044	-0.0026	0.0069	0.0099	-0.0117	-0.0049	Denmark
83815_B01	0.0126	0.0293	-0.0042	-0.0279	0.0207	-0.0193	0.0011	0.0016	-0.0018	-0.0037	Finland
83815_B02	0.0166	0.0288	0.0029	-0.0415	0.0229	-0.0396	0.0272	0.0064	0.0008	-0.0032	Finland_Subset
83815_B03	0.0153	0.0319	-0.0018	-0.0323	0.0202	-0.0301	0.0094	0.0008	-0.0046	0.0017	Finland
83815_B04	0.0170	0.0333	-0.0010	-0.0383	0.0218	-0.0344	0.0048	-0.0018	0.0036	0.0005	Finland
83815_B05	0.0148	0.0228	0.0000	-0.0307	0.0219	-0.0239	0.0045	-0.0048	-0.0017	-0.0018	Finland
83815_B07	0.0165	0.0313	-0.0024	-0.0303	0.0168	-0.0217	0.0111	0.0008	0.0084	-0.0013	Finland
83815_B08	0.0165	0.0324	-0.0002	-0.0402	0.0248	-0.0407	0.0204	-0.0090	0.0019	0.0077	Finland_Subset
83815_B09	0.0144	0.0279	-0.0019	-0.0318	0.0205	-0.0278	0.0105	-0.0003	0.0015	0.0046	Finland
83815_B10	0.0183	0.0362	-0.0047	-0.0408	0.0192	-0.0284	0.0135	-0.0069	-0.0041	0.0036	Finland
83815_B11	0.0150	0.0239	-0.0023	-0.0214	0.0181	-0.0139	-0.0001	-0.0035	-0.0001	0.0091	Finland
83815_B12	0.0081	-0.0000	0.0033	0.0115	0.0036	0.0092	-0.0052	0.0023	0.0062	-0.0081	Denmark
83815_C01	0.0172	0.0344	0.0025	-0.0390	0.0191	-0.0291	0.0104	-0.0017	0.0077	-0.0053	Finland
83815_C02	0.0164	0.0354	-0.0053	-0.0389	0.0177	-0.0333	0.0059	-0.0100	0.0074	-0.0019	Finland
83815_C03	0.0161	0.0228	-0.0001	-0.0269	0.0138	-0.0242	-0.0006	-0.0021	0.0008	0.0007	Finland
83815_C04	0.0143	0.0269	0.0003	-0.0289	0.0183	-0.0250	0.0032	-0.0015	0.0037	0.0012	Finland
83815_C05	0.0164	0.0293	-0.0020	-0.0265	0.0181	-0.0296	-0.0024	-0.0026	-0.0026	-0.0031	Finland
83815_C07	0.0163	0.0247	0.0005	-0.0258	0.0112	-0.0260	0.0061	-0.0077	-0.0005	0.0050	Finland
83815_C08	0.0175	0.0373	-0.0031	-0.0344	0.0246	-0.0259	0.0061	-0.0055	0.0019	0.0035	Finland
83815_C09	0.0168	0.0356	0.0026	-0.0309	0.0208	-0.0288	0.0072	-0.0094	0.0088	-0.0017	Finland
83815_C10	0.0176	0.0271	-0.0000	-0.0292	0.0194	-0.0243	0.0095	-0.0023	0.0015	0.0025	Finland
83815_C11	0.0152	0.0333	-0.0014	-0.0327	0.0221	-0.0174	-0.0000	-0.0073	0.0005	-0.0011	Finland
83815_C12	0.0082	-0.0006	0.0099	0.0142	0.0072	0.0059	0.0066	0.0030	0.0044	0.0104	Denmark
83815_D01	0.0140	0.0339	0.0010	-0.0362	0.0212	-0.0309	0.0056	0.0036	0.0002	-0.0024	Finland
83815_D02	0.0162	0.0297	-0.0012	-0.0309	0.0210	-0.0236	-0.0024	-0.0051	0.0030	0.0010	Finland
83815_D03	0.0173	0.0319	-0.0047	-0.0343	0.0155	-0.0284	0.0098	0.0007	0.0038	-0.0029	Finland
83815_D04	0.0158	0.0337	-0.0022	-0.0373	0.0227	-0.0453	-0.0028	-0.0026	0.0012	0.0095	Finland_Subset
83815_D05	0.0147	0.0287	-0.0032	-0.0220	0.0227	-0.0186	-0.0014	-0.0001	0.0041	0.0012	Finland
83815_D07	0.0168	0.0349	-0.0038	-0.0384	0.0238	-0.0324	0.0063	-0.0022	0.0080	-0.0005	Finland
83815_D08	0.0166	0.0310	-0.0015	-0.0313	0.0188	-0.0270	0.0041	-0.0009	-0.0046	-0.0064	Finland
83815_D09	0.0172	0.0308	0.0014	-0.0321	0.0194	-0.0232	0.0032	-0.0038	0.0038	0.0033	Finland
83815_D10	0.0180	0.0319	-0.0017	-0.0455	0.0289	-0.0333	0.0141	0.0074	0.0109	0.0042	Finland_Subset
83815_D11	0.0183	0.0335	-0.0058	-0.0398	0.0211	-0.0347	0.0073	-0.0011	-0.0017	0.0082	Finland
83815_D12	0.0086	-0.0047	0.0096	0.0102	0.0081	0.0034	0.0021	0.0063	0.0083	-0.0003	Denmark
83815_E01	0.0150	0.0309	-0.0038	-0.0367	0.0208	-0.0297	0.0066	-0.0025	0.0032	-0.0000	Finland
83815_E02	0.0161	0.0292	0.0017	-0.0300	0.0208	-0.0315	0.0002	-0.0011	0.0073	0.0003	Finland
83815_E03	0.0174	0.0361	0.0001	-0.0433	0.0222	-0.0321	0.0014	-0.0074	0.0023	-0.0046	Finland
83815_E04	0.0159	0.0288	0.0033	-0.0281	0.0189	-0.0250	-0.0016	0.0036	0.0070	0.0045	Finland
83815_E05	0.0164	0.0277	0.0028	-0.0354	0.0194	-0.0267	-0.0002	-0.0038	-0.0041	-0.0062	Finland
83815_E06	0.0146	0.0262	-0.0006	-0.0275	0.0190	-0.0240	-0.0013	-0.0044	-0.0001	-0.0049	Finland
83815_E07	0.0165	0.0293	-0.0009	-0.0319	0.0178	-0.0264	0.0007	-0.0043	-0.0002	-0.0015	Finland
83815_E08	0.0139	0.0271	-0.0062	-0.0237	0.0152	-0.0244	-0.0013	-0.0091	-0.0022	-0.0029	Finland
83815_E09	0.0165	0.0305	-0.0018	-0.0291	0.0126	-0.0198	0.0090	-0.0001	0.0037	-0.0003	Finland
83815_E10	0.0179	0.0362	-0.0043	-0.0403	0.0242	-0.0277	0.0092	-0.0088	0.0101	-0.0020	Finland
83815_E11	0.0090	0.0045	0.0103	0.0150	0.0067	-0.0020	-0.0019	0.0092	-0.0204	-0.0021	Denmark
83815_E12	0.0052	-0.0048	0.0029	0.0110	-0.0042	0.0046	0.0069	0.0136	0.0103	0.0016	Denmark
83815_F01	0.0177	0.0363	-0.0016	-0.0350	0.0245	-0.0334	0.0064	-0.0038	-0.0012	-0.0000	Finland
83815_F02	0.0156	0.0344	-0.0010	-0.0348	0.0200	-0.0304	0.0057	0.0017	0.0054	-0.0004	Finland
83815_F03	0.0152	0.0258	0.0013	-0.0249	0.0169	-0.0248	-0.0037	-0.0063	0.0018	0.0027	Finland
83815_F04	0.0144	0.0272	-0.0027	-0.0259	0.0144	-0.0276	0.0030	0.0003	-0.0045	0.0002	Finland
83815_F05	0.0138	0.0296	-0.0053	-0.0201	0.0115	-0.0195	0.0017	-0.0014	0.0031	-0.0004	Finland
83815_F06	0.0107	0.0153	0.0032	-0.0126	0.0118	-0.0087	0.0071	0.0037	0.0053	0.0007	Finland
83815_F07	0.0161	0.0254	0.0003	-0.0302	0.0181	-0.0240	-0.0025	-0.0047	0.0038	-0.0007	Finland
83815_F08	0.0198	0.0368	-0.0024	-0.0405	0.0237	-0.0329	0.0013	-0.0051	0.0039	-0.0001	Finland
83815_F09	0.0184	0.0317	-0.0067	-0.0320	0.0135	-0.0294	0.0015	0.0024	0.0057	0.0008	Finland
83815_F10	0.0175	0.0333	0.0000	-0.0306	0.0208	-0.0262	-0.0016	-0.0009	0.0097	0.0011	Finland
83815_F12	0.0057	-0.0009	0.0084	0.0080	-0.0042	-0.0001	-0.0109	0.0063	0.0033	0.0017	Denmark
83815_G01	0.0155	0.0273	0.0024	-0.0229	0.0134	-0.0214	0.0056	-0.0001	0.0032	-0.0005	Finland
83815_G02	0.0146	0.0262	0.0005	-0.0313	0.0184	-0.0282	0.0038	-0.0064	0.0027	0.0007	Finland
83815_G03	0.0164	0.0329	-0.0016	-0.0305	0.0181	-0.0282	0.0081	0.0082	-0.0063	-0.0021	Finland
83815_G04	0.0162	0.0321	0.0041	-0.0311	0.0211	-0.0235	0.0085	-0.0002	0.0006	0.0001	Finland
83815_G05	0.0129	0.0244	-0.0028	-0.0235	0.0208	-0.0162	-0.0025	-0.0183	-0.0007	-0.0000	Finland_Subset
83815_G06	0.0183	0.0369	0.0013	-0.0372	0.0197	-0.0260	0.0097	-0.0026	0.0093	0.0041	Finland
83815_G07	0.0183	0.0383	-0.0025	-0.0410	0.0249	-0.0292	0.0042	-0.0114	-0.0016	-0.0041	Finland
83815_G08	0.0144	0.0272	-0.0006	-0.0288	0.0244	-0.0253	-0.0014	-0.0043	0.0065	-0.0031	Finland
83815_G09	0.0162	0.0301	-0.0003	-0.0253	0.0205	-0.0259	0.0106	-0.0002	0.0014	0.0010	Finland
83815_G10	0.0152	0.0281	0.0009	-0.0313	0.0166	-0.0225	0.0023	-0.0055	0.0062	-0.0020	Finland
83815_G11	0.0089	0.0036	0.0071	0.0077	-0.0031	0.0027	-0.0019	0.0095	0.0043	0.0009	Denmark
83815_G12	0.0056	0.0014	0.0063	0.0075	-0.0018	-0.0001	0.0163	0.0017	-0.0130	-0.0097	Denmark
83815_H01	0.0161	0.0320	-0.0031	-0.0287	0.0168	-0.0308	0.0056	-0.0086	0.0063	0.0044	Finland
83815_H02	0.0151	0.0302	0.0041	-0.0269	0.0201	-0.0257	0.0105	-0.0210	0.0150	0.0041	Finland_Subset
83815_H03	0.0139	0.0271	-0.0009	-0.0273	0.0213	-0.0238	0.0049	-0.0031	0.0022	0.0030	Finland
